STATION,Station_name,DATE,LATITUDE,LONGITUDE,ELEVATION,temperature,dew_point_temperature,station_level_pressure,wind_direction,wind_speed,relative_humidity,pres_wx_MW1,pres_wx_MW2,pres_wx_MW3,visibility,hour,month,day_of_year,dew_point_depression
INM00043335,PALAKKAD,1944-01-01 02:00:00,10.7667,76.65,97.0,21.7,20.0,,90.0,4.6,,,,,,2,1,1,1.6999999999999993
INM00043335,PALAKKAD,1944-01-01 03:00:00,10.7667,76.65,97.0,21.7,20.0,,90.0,4.6,90.0,,,,20.0,3,1,1,1.6999999999999993
INM00043335,PALAKKAD,1944-01-02 02:00:00,10.7667,76.65,97.0,22.8,21.1,,90.0,2.6,,,,,,2,1,2,1.6999999999999993
INM00043335,PALAKKAD,1944-01-02 03:00:00,10.7667,76.65,97.0,22.8,21.1,,90.0,2.6,90.0,,,,20.0,3,1,2,1.6999999999999993
INM00043335,PALAKKAD,1944-01-02 11:00:00,10.7667,76.65,97.0,31.7,24.4,,90.0,2.6,,,,,,11,1,2,7.300000000000001
INM00043335,PALAKKAD,1944-01-02 12:00:00,10.7667,76.65,97.0,31.7,24.4,,90.0,2.6,65.0,,,,20.0,12,1,2,7.300000000000001
INM00043335,PALAKKAD,1944-01-03 02:00:00,10.7667,76.65,97.0,21.7,20.0,,90.0,2.6,,,,,,2,1,3,1.6999999999999993
INM00043335,PALAKKAD,1944-01-03 03:00:00,10.7667,76.65,97.0,21.7,20.0,,90.0,2.6,90.0,,,,20.0,3,1,3,1.6999999999999993
INM00043335,PALAKKAD,1944-01-03 11:00:00,10.7667,76.65,97.0,31.1,23.9,,90.0,4.6,,,,,,11,1,3,7.200000000000003
INM00043335,PALAKKAD,1944-01-03 12:00:00,10.7667,76.65,97.0,31.1,23.9,,90.0,4.6,66.0,,,,20.0,12,1,3,7.200000000000003
INM00043335,PALAKKAD,1944-01-04 02:00:00,10.7667,76.65,97.0,22.8,21.1,,90.0,4.6,,,,,,2,1,4,1.6999999999999993
INM00043335,PALAKKAD,1944-01-04 03:00:00,10.7667,76.65,97.0,22.8,21.1,,90.0,4.6,90.0,,,,20.0,3,1,4,1.6999999999999993
INM00043335,PALAKKAD,1944-01-04 11:00:00,10.7667,76.65,97.0,31.7,24.4,,90.0,2.6,,,,,,11,1,4,7.300000000000001
INM00043335,PALAKKAD,1944-01-04 12:00:00,10.7667,76.65,97.0,31.7,24.4,,90.0,2.6,65.0,,,,20.0,12,1,4,7.300000000000001
INM00043335,PALAKKAD,1944-01-05 02:00:00,10.7667,76.65,97.0,22.8,20.0,,90.0,4.6,,,,,,2,1,5,2.8000000000000007
INM00043335,PALAKKAD,1944-01-05 03:00:00,10.7667,76.65,97.0,22.8,20.0,,90.0,4.6,84.0,,,,20.0,3,1,5,2.8000000000000007
INM00043335,PALAKKAD,1944-01-05 11:00:00,10.7667,76.65,97.0,30.6,24.4,,90.0,2.6,,,,,,11,1,5,6.200000000000003
INM00043335,PALAKKAD,1944-01-05 12:00:00,10.7667,76.65,97.0,30.6,24.4,,90.0,2.6,70.0,,,,20.0,12,1,5,6.200000000000003
INM00043335,PALAKKAD,1944-01-06 02:00:00,10.7667,76.65,97.0,23.9,21.1,,90.0,2.6,,,,,,2,1,6,2.799999999999997
INM00043335,PALAKKAD,1944-01-06 03:00:00,10.7667,76.65,97.0,23.9,21.1,,90.0,2.6,84.0,,,,20.0,3,1,6,2.799999999999997
INM00043335,PALAKKAD,1944-01-06 11:00:00,10.7667,76.65,97.0,32.8,23.9,,0.0,0.0,,,,,,11,1,6,8.899999999999999
INM00043335,PALAKKAD,1944-01-06 12:00:00,10.7667,76.65,97.0,32.8,23.9,,999.0,0.0,59.0,,,,20.0,12,1,6,8.899999999999999
INM00043335,PALAKKAD,1944-01-07 02:00:00,10.7667,76.65,97.0,23.3,21.1,,90.0,4.6,,,,,,2,1,7,2.1999999999999993
INM00043335,PALAKKAD,1944-01-07 03:00:00,10.7667,76.65,97.0,23.3,21.1,,90.0,4.6,88.0,,,,20.0,3,1,7,2.1999999999999993
INM00043335,PALAKKAD,1944-01-07 11:00:00,10.7667,76.65,97.0,32.8,23.9,,90.0,9.3,,,,,,11,1,7,8.899999999999999
INM00043335,PALAKKAD,1944-01-07 12:00:00,10.7667,76.65,97.0,32.8,23.9,,90.0,9.3,59.0,,,,20.0,12,1,7,8.899999999999999
INM00043335,PALAKKAD,1944-01-08 02:00:00,10.7667,76.65,97.0,23.3,21.7,,90.0,4.6,,,,,,2,1,8,1.6000000000000014
INM00043335,PALAKKAD,1944-01-08 03:00:00,10.7667,76.65,97.0,23.3,21.7,,90.0,4.6,91.0,,,,20.0,3,1,8,1.6000000000000014
INM00043335,PALAKKAD,1944-01-08 11:00:00,10.7667,76.65,97.0,32.2,25.6,,90.0,2.6,,,,,,11,1,8,6.600000000000001
INM00043335,PALAKKAD,1944-01-08 12:00:00,10.7667,76.65,97.0,32.2,25.6,,90.0,2.6,68.0,,,,20.0,12,1,8,6.600000000000001
INM00043335,PALAKKAD,1944-01-09 02:00:00,10.7667,76.65,97.0,24.4,22.8,,90.0,2.6,,,,,,2,1,9,1.5999999999999979
INM00043335,PALAKKAD,1944-01-09 03:00:00,10.7667,76.65,97.0,24.4,22.8,,90.0,2.6,91.0,,,,20.0,3,1,9,1.5999999999999979
INM00043335,PALAKKAD,1944-01-09 11:00:00,10.7667,76.65,97.0,28.3,25.6,,90.0,2.6,,,,,,11,1,9,2.6999999999999993
INM00043335,PALAKKAD,1944-01-09 12:00:00,10.7667,76.65,97.0,28.3,25.6,,90.0,2.6,85.0,,,,20.0,12,1,9,2.6999999999999993
INM00043335,PALAKKAD,1944-01-10 02:00:00,10.7667,76.65,97.0,32.8,30.0,,90.0,2.6,,,,,,2,1,10,2.799999999999997
INM00043335,PALAKKAD,1944-01-10 03:00:00,10.7667,76.65,97.0,32.8,30.0,,90.0,2.6,85.0,,,,20.0,3,1,10,2.799999999999997
INM00043335,PALAKKAD,1944-01-10 11:00:00,10.7667,76.65,97.0,32.2,26.1,,90.0,2.6,,,,,,11,1,10,6.100000000000001
INM00043335,PALAKKAD,1944-01-10 12:00:00,10.7667,76.65,97.0,32.2,26.1,,90.0,2.6,70.0,,,,20.0,12,1,10,6.100000000000001
INM00043335,PALAKKAD,1944-01-11 02:00:00,10.7667,76.65,97.0,25.0,22.2,,90.0,2.6,,,,,,2,1,11,2.8000000000000007
INM00043335,PALAKKAD,1944-01-11 03:00:00,10.7667,76.65,97.0,25.0,22.2,,90.0,2.6,85.0,,,,20.0,3,1,11,2.8000000000000007
INM00043335,PALAKKAD,1944-01-11 11:00:00,10.7667,76.65,97.0,32.2,26.7,,90.0,4.6,,,,,,11,1,11,5.5000000000000036
INM00043335,PALAKKAD,1944-01-11 12:00:00,10.7667,76.65,97.0,32.2,26.7,,90.0,4.6,73.0,,,,20.0,12,1,11,5.5000000000000036
INM00043335,PALAKKAD,1944-01-14 02:00:00,10.7667,76.65,97.0,23.9,21.7,,90.0,4.6,,,,,,2,1,14,2.1999999999999993
