GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
INA00420341,34.15,77.567,3514.0,,LEH,,,,,IN
INA00420551,32.75,74.917,292.0,,JAMMU,,,,,IN
INA00420571,32.233,75.633,312.0,,PATHANKOT (IN-AFB),,,,,IN
INA00420981,30.75,75.633,242.0,,HALWARA,,,,,IN
INA00424060,26.15,89.917,45.0,,DHUBRI/RUPSI,,,,,IN
INA00424511,25.183,75.85,257.0,,KOTA,,,,,IN
INA00426201,24.917,92.983,97.0,,SILCHAR,,,,,IN
INA00428021,22.333,87.217,62.0,,KALAIKUNDA,,,,,IN
INA00428081,22.767,88.367,7.0,,CALCUTTA/BARRACKS,,,,,IN
INA00431301,17.55,78.517,613.0,,HAKIMPET,,,,,IN
INA00433081,12.617,80.2,9.0,,MAHABALIPURAM,,,,,IN
INA00433951,4.167,73.5,6.0,,MALE ISLAND,,,,,IN
INA00749234,23.467,87.783,41.0,,GUSKHARA SOUTHEAST,,,,,IN
INA00749235,22.45,86.7,131.0,,CHAKULIA,,,,,IN
INA00749239,24.6,84.883,149.0,,SHERGHATI NORTHEAST,,,,,IN
INA00749241,22.3,87.333,41.0,,KHARAGPUR SOUTHEAST,,,,,IN
INA00749242,22.967,87.3,79.0,,BANKADAHA WEST,,,,,IN
INA00749243,23.717,87.283,87.0,,PANDAVESWAR SW,,,,,IN
INA00749244,27.567,95.567,130.0,,DOOM-DOOMA,,,,,IN
INA00749246,26.8,92.617,98.0,,BANSBERA NORTHEAST,,,,,IN
INA00749247,26.85,94.433,92.0,,JHANZI WEST,,,,,IN
INA00749249,24.717,92.533,25.0,,HAILAKANDI NORTHWEST,,,,,IN
INA00749251,27.85,95.667,130.0,,SADIYA,,,,,IN
INA00749252,26.717,93.95,91.0,,DERGAON,,,,,IN
INI0000VABB,19.0887,72.8679,11.3,,CHHATRAPATI SHIVAJI INTL,,,,VABB,IN
INI0000VABI,21.9884,82.111,274.0,,BILASPUR,,,,VABI,IN
INI0000VABO,22.3362,73.2263,39.3,,VADODARA,,,,VABO,IN
INI0000VABP,23.2875,77.3374,524.0,,BHOPAL,,,,VABP,IN
INI0000VABV,21.7522,72.1852,13.4,,BHAVNAGAR,,,,VABV,IN
INI0000VADU,20.7145,70.9221,9.1,,DIU APRT,,,,VADU,IN
INI0000VAGD,21.5245,80.288,300.8,,GONDIA ARPT/BIRSI,,,,VAGD,IN
INI0000VAGO,15.3808,73.8314,56.1,,GOA,,,,VAGO,IN
INI0000VAJJ,19.1167,72.8333,4.0,,BOMBAY / JUHU,,,,VAJJ,IN
INI0000VAJM,22.4655,70.0126,21.0,,JAMNAGAR,,,,VAJM,IN
INI0000VAKD,21.8333,76.3667,318.0,,KHANDWA,,,,VAKD,IN
INI0000VAKE,23.1127,70.1003,29.3,,KANDLA,,,,VAKE,IN
INI0000VAKJ,24.8172,79.9186,221.9,,KHAJURAHO,,,,VAKJ,IN
INI0000VAOZ,20.1192,73.9141,598.0,,OZAR AIR FORCE STATION /NASHIK,,,,VAOZ,IN
INI0000VAPO,18.5821,73.9197,591.9,,PUNE,,,,VAPO,IN
INI0000VAPR,21.6487,69.6572,7.0,,PORBANDAR,,,,VAPR,IN
INI0000VARK,22.3092,70.7795,134.4,,RAJKOT,,,,VARK,IN
INI0000VARP,21.1804,81.7388,317.3,,RAIPUR,,,,VARP,IN
INI0000VASD,19.7,74.3667,587.0,,SHIRDI ARPT,,,,VASD,IN
INI0000VASU,21.1135,72.7423,4.9,,SURAT,,,,VASU,IN
INI0000VEBI,25.7,91.9833,891.2,,SHILLONG ARPT/UMROI ARPT,,,,VEBI,IN
INI0000VEBN,25.45,82.8667,81.1,,LAL BAHADUR SHASTRI,,,,VEBN,IN
INI0000VEBS,20.2444,85.8178,42.1,,BHUBANESHWAR,,,,VEBS,IN
INI0000VECO,26.3305,89.4672,42.1,,COOCH BEHAR,,,,VECO,IN
INI0000VECX,9.15,92.8167,14.0,,CAR NICOBAR(IN-AFB),,,,VECX,IN
INI0000VEDG,23.6177,87.2401,88.1,,KAZI NAZRUL ISLAM ARPT / DURGA,,,,VEDG,IN
INI0000VEJT,26.7315,94.1755,94.8,,JORHAT,,,,VEJT,IN
INI0000VEKO,24.8167,79.9167,221.9,,KHAJURAHO ARPT,,,,VEKO,IN
INI0000VEKR,24.3082,92.0072,24.1,,KAILASHAHAR,,,,VEKR,IN
INI0000VEKU,24.9129,92.9787,107.3,,SILCHAR,,,,VEKU,IN
INI0000VELP,23.8406,92.6197,426.1,,LENGPUI,,,,VELP,IN
INI0000VELR,27.2955,94.0976,100.6,,LILABARI,,,,VELR,IN
INI0000VEMN,27.4839,95.0169,110.3,,DIBRUGARH,,,,VEMN,IN
INI0000VEMR,25.8839,93.7711,148.4,,DIMAPUR,,,,VEMR,IN
INI0000VEPT,25.5913,85.088,51.8,,PATNA,,,,VEPT,IN
INI0000VEPY,27.2333,88.5833,1399.0,,PAKYONG AIRPORT / GANGTOK / SI,,,,VEPY,IN
INI0000VERC,23.3143,85.3217,654.7,,BIRSA MUNDA,,,,VERC,IN
