GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
INI0000VOCI,10.152,76.4019,9.1,,COCHIN INTL,,,,VOCI,IN
INI0000VOCL,11.1368,75.9553,104.2,,CALICUT,,,,VOCL,IN
INI0000VOKN,11.92,75.55,104.8,,KANNUR INTL / CANNANORE,,,,VOKN,IN
INI0000VOMY,12.3,76.7,767.0,,MYSORE,,,,VOMY,IN
INI0000VOTV,8.4821,76.9201,4.6,,THIRUVANANTHAPURAM INTL,,,,VOTV,IN
INM00043263,12.9667,76.3333,955.0,,HASSAN,,,43263,,IN
INM00043283,12.867,74.85,22.0,,MANGALORE,,,43283,,IN
INM00043287,12.4167,75.7333,1153.0,,MADIKERI,,,43287,,IN
INM00043289,12.5,76.8333,695.0,,MANDYA,,,43289,,IN
INM00043291,12.3,76.7,767.0,,MYSORE,,,43291,,IN
INM00043314,11.25,75.7833,5.0,,KOZHIKODE,,,43314,,IN
INM00043315,11.8333,75.3333,18.0,,CANNUR,,,43315,,IN
INM00043316,11.2833,76.2333,31.0,,NILAMBUR,,,43316,,IN
INM00043317,11.4,76.7333,2249.0,,UDHAGAMANDALAM,,,43317,,IN
INM00043318,11.35,76.8,1747.0,,COONOOR,,,43318,,IN
INM00043319,11.0,76.9667,409.0,,COIMBATORE,,,43319,,IN
INM00043322,11.9333,76.9333,760.0,,CHAMARAJNAGAR,,,43322,,IN
INM00043335,10.7667,76.65,97.0,,PALAKKAD,,,43335,,IN
INM00043339,10.2333,77.4667,2343.0,,KODAIKANAL,,,43339,,IN
INM00043341,10.2833,77.0,1041.0,,VALPARAI,,,43341,,IN
INM00043352,9.55,76.4167,4.0,,ALAPUZHA,,,43352,,IN
INM00043354,9.0,76.9167,34.0,,PUNALUR,,,43354,,IN
INM00043356,10.0,77.1333,300.0,,PERIAKULAM,,,43356,,IN
INM00043357,10.5167,76.2167,39.0,,THRISSUR,,,43357,,IN
INM00043373,8.5333,76.8667,7.0,,TRIVANDRUM MET.OBS./THUMBA,,,43373,,IN
INM00043377,8.0833,77.5,37.0,,KANNIYAKUMARI,,,43377,,IN
INMU0020530,9.97,76.23,3.0,,COCHIN INDIA,,,43351,,IN
INMU0020531,8.48,76.95,61.0,,TRIVANDRUM INDIA,,,43371,,IN
INU043284-1,12.92,74.88,102.0,,MANGALORE/BAJPE,,,,VOML,IN
INU00043339,10.23,77.47,2343.0,,KODAIKANAL INDIA,,,,,IN
INU00043351,9.97,76.23,3.0,,FORT COCHIN INDIA,,,,,IN
